"id","premise","hypothesis","type","trigger","resp_1","resp_2","resp_3","resp_4","resp_5","mean_resp","sd_resp"
"1059","Lester also noted that research on group dynamics indicates that increasing the size of the group eventually increases the chances that a dominant member will emerge and force conformity from the other group members. Thus, there is a limit to the size of a group for effective functioning. In writing on subselves, Allport (1961), Rowan (1990) and Shapiro and Elliott (1976) have not suggested that from four to ten subselves is ideal.","Four to ten subselves is ideal.","target-negated","factives",1.08,8.9,0.02,68.41,36.39,22.96,29.3629400775876
"1059","Lester also noted that research on group dynamics indicates that increasing the size of the group eventually increases the chances that a dominant member will emerge and force conformity from the other group members. Thus, there is a limit to the size of a group for effective functioning. In writing on subselves, Allport (1961), Rowan (1990) and Shapiro and Elliott (1976) have suggested that from four to ten subselves is ideal.","Four to ten subselves is ideal.","target-original","factives",100,100,99.06,97.65,100,99.342,1.02971840810971
"1087","<i>(No context.)</i>","Baltimore County police were asked to say whether they have found the gun used in the crime.","target-prior","implicative_predicates",63.46,68.13,100,1.23,83.21,63.206,37.4809729062627
"1087","  On Friday, Baltimore County police didn't decline to say whether they have found the gun used in the crime.","Baltimore County police were asked to say whether they have found the gun used in the crime.","target-negated","implicative_predicates",100,100,99.73,95.14,NA,98.7175,2.38839381174881
"1087","  On Friday, Baltimore County police declined to say whether they have found the gun used in the crime.","Baltimore County police were asked to say whether they have found the gun used in the crime.","target-original","implicative_predicates",100,100,100,85.55,100,97.11,6.46223645497439
"1102","Seated in his saddle, the knight San Alberto asked the dying man, "" In which abbey? In which direction?","It took effort for the dying man to whisper the murderer's name.","target-prior","implicative_predicates",99.06,77.48,6.68,79.06,94.47,71.35,37.3550813143272
"1102","Seated in his saddle, the knight San Alberto asked the dying man, "" In which abbey? In which direction? The dying man didn't manage to whisper the murderer's name.","It took effort for the dying man to whisper the murderer's name.","target-negated","implicative_predicates",100,100,100,100,100,100,0
"1102","Seated in his saddle, the knight San Alberto asked the dying man, "" In which abbey? In which direction? The dying man managed to whisper the murderer's name.","It took effort for the dying man to whisper the murderer's name.","target-original","implicative_predicates",99.46,93.98,99.02,95.53,100,97.598,2.67512990338787
"1105","<strong>Speaker A</strong>: And so this is Louis C.K. on ""Saturday Night Live""","It is hard for you to talk about religion in this.","target-prior","implicative_predicates",50.15,50.9,48.05,41.35,NA,47.6125,4.34575942730382
"1105","<strong>Speaker A</strong>: And so this is Louis C.K. on ""Saturday Night Live"" and you don't manage to talk about religion in this. @","It is hard for you to talk about religion in this.","target-negated","implicative_predicates",86.77,75.09,94.68,76.98,93.62,85.428,9.12074942096317
"1105","<strong>Speaker A</strong>: And so this is Louis C.K. on ""Saturday Night Live"" and you manage to talk about religion in this. @","It is hard for you to talk about religion in this.","target-original","implicative_predicates",4.92,59.09,50.15,0.43,9.85,24.888,27.5272668458022
"1108"," Then again, given the gridlock on most issues in Washington, the idea of passing any insider trading law in Congress might be wishful thinking.","A spokesman for Mr. Bharara was asked to comment on a possible Supreme Court appeal.","target-prior","implicative_predicates",0.94,16.25,15.39,0,6.98,7.912,7.70583999314805
"1108"," Then again, given the gridlock on most issues in Washington, the idea of passing any insider trading law in Congress might be wishful thinking. A spokesman for Mr. Bharara didn't decline to comment on a possible Supreme Court appeal.","A spokesman for Mr. Bharara was asked to comment on a possible Supreme Court appeal.","target-negated","implicative_predicates",75.98,94.68,100,87.95,NA,89.6525,10.3631120647548
"1108"," Then again, given the gridlock on most issues in Washington, the idea of passing any insider trading law in Congress might be wishful thinking. A spokesman for Mr. Bharara declined to comment on a possible Supreme Court appeal.","A spokesman for Mr. Bharara was asked to comment on a possible Supreme Court appeal.","target-original","implicative_predicates",99.9,100,98.5,93.4,100,98.36,2.844819853699
"1114","ICE spokeswoman Barbara Gonzalez told the AJC on Thursday that Cherokee and Roswell's applications are still under consideration. ","Threre are exacly two relevant law enforcment departments.","target-prior","numeric_determiners",98.41,22.9,0,30.35,3.29,30.99,39.8088689866969
"1114","ICE spokeswoman Barbara Gonzalez told the AJC on Thursday that Cherokee and Roswell's applications are still under consideration.  ""We aren't working with both of these law enforcement departments and sharing information to move forward on their requests,"" she said.","Threre are exacly two relevant law enforcment departments.","target-negated","numeric_determiners",79.78,14.65,67.58,99.34,NA,65.3375,36.235375325778
"1114","ICE spokeswoman Barbara Gonzalez told the AJC on Thursday that Cherokee and Roswell's applications are still under consideration.  ""We are working with both of these law enforcement departments and sharing information to move forward on their requests,"" she said.","Threre are exacly two relevant law enforcment departments.","target-original","numeric_determiners",100,100,38.42,98.11,33.12,73.93,34.8940482030962
"1118"," The use of recycled wood for panel board and paper furnish is a relatively recent development in the Northwest--taking place within the past three years.","There are exactly two types of uses of recycled wood discussed here.","target-prior","numeric_determiners",40.47,100,100,100,100,88.094,26.6226253401125
"1118"," The use of recycled wood for panel board and paper furnish is a relatively recent development in the Northwest--taking place within the past three years. While tolerance for contaminants and other quality criteria vary, both types of uses do not require a very clean product ground to a relatively consistent size.","There are exactly two types of uses of recycled wood discussed here.","target-negated","numeric_determiners",7.05,100,100,99.73,95.9,80.536,41.1167512092091
"1118"," The use of recycled wood for panel board and paper furnish is a relatively recent development in the Northwest--taking place within the past three years. While tolerance for contaminants and other quality criteria vary, both types of uses require a very clean product ground to a relatively consistent size.","There are exactly two types of uses of recycled wood discussed here.","target-original","numeric_determiners",0,90.76,6.75,100,NA,49.3775,53.3241348578046
"1126","SIETZEN: Much of the this discussion, unfortunately, was conducted in the press.","There are exactly two sides.","target-prior","numeric_determiners",77.72,45.95,3.92,50.6,17.91,39.22,28.970905232664
"1126","SIETZEN: Much of the this discussion, unfortunately, was conducted in the press. And there hasn't been a great deal of acrimony on both sides.","There are exactly two sides.","target-negated","numeric_determiners",95.53,97.5,40.47,100,100,86.7,25.9113961414664
"1126","SIETZEN: Much of the this discussion, unfortunately, was conducted in the press. And there's been a great deal of acrimony on both sides.","There are exactly two sides.","target-original","numeric_determiners",100,99.25,62.16,74.44,100,87.17,17.7672254446213
"1134"," In addition to being successful as a lawyer and agent, my parents became judicious backers of new Broadway shows, on David Merrick's and Kermit Bloomgarden's A lists.","My parents had exaclty two kids.","target-prior","numeric_determiners",50.45,0.88,49.4,48.35,NA,37.27,24.2751436658983
"1134"," In addition to being successful as a lawyer and agent, my parents became judicious backers of new Broadway shows, on David Merrick's and Kermit Bloomgarden's A lists. They moved into the huge Riverside Drive apartment shortly before my sister was born, a year ahead of me, both of us were not late kids, and bought the apartment when the building went co-op in the seventies.","My parents had exaclty two kids.","target-negated","numeric_determiners",99.54,95.59,86.67,77.1,99.79,91.738,9.7531979370871
"1134"," In addition to being successful as a lawyer and agent, my parents became judicious backers of new Broadway shows, on David Merrick's and Kermit Bloomgarden's A lists. They moved into the huge Riverside Drive apartment shortly before my sister was born, a year ahead of me, both of us were late kids, and bought the apartment when the building went co-op in the seventies.","My parents had exaclty two kids.","target-original","numeric_determiners",96.93,98.2,98.37,100,96.25,97.95,1.44670314854154
"1135","<i>(No context.)</i>","There are exactly two stories.","target-prior","numeric_determiners",0.13,49.1,6.09,NA,NA,18.44,26.7190400276657
"1135","  In both stories, Marley didn't hope that terrifying change can be survived.","There are exactly two stories.","target-negated","numeric_determiners",91.35,99.62,100,98.37,100,97.868,3.70461468981594
"1135","  In both stories, Marley saw hope that terrifying change can be survived.","There are exactly two stories.","target-original","numeric_determiners",63.46,100,99.43,100,97.93,92.164,16.0683455900102
"1140","VAN-SUSTEREN: In terms of Iowa, the caucus, if you have a job that doesn't let you takeoff the night of the caucus, you can't vote.","There are exactly two parties.","target-prior","numeric_determiners",75.34,0,50.45,0,NA,31.4475,37.7073691957775
"1140","VAN-SUSTEREN: In terms of Iowa, the caucus, if you have a job that doesn't let you takeoff the night of the caucus, you can't vote. In Iowa, you are not excluded from the system in both parties.","There are exactly two parties.","target-negated","numeric_determiners",0,91.84,99.69,100,90.33,76.372,42.9207953095
"1140","VAN-SUSTEREN: In terms of Iowa, the caucus, if you have a job that doesn't let you takeoff the night of the caucus, you can't vote. In Iowa, you are excluded from the system in both parties.","There are exactly two parties.","target-original","numeric_determiners",100,99.25,20.46,97.5,95.59,82.56,34.7566691442089
"1144"," This approach is suitable if TP data are available from a random subset of lakes, and if the percentage of lakes above minimum impact levels is known; the 25th percentile is most appropriate where 75% of the lakes exceed minimal impact levels.","Exactly two conditions are being discussed.","target-prior","numeric_determiners",86.87,23.65,5.81,97.88,95.71,61.984,43.7901036765158
"1144"," This approach is suitable if TP data are available from a random subset of lakes, and if the percentage of lakes above minimum impact levels is known; the 25th percentile is most appropriate where 75% of the lakes exceed minimal impact levels. In practice, both of these conditions are rarely not met (Herlihy and Sifneos 2008).","Exactly two conditions are being discussed.","target-negated","numeric_determiners",86.67,100,89.62,100,100,95.258,6.57648234240768
"1144"," This approach is suitable if TP data are available from a random subset of lakes, and if the percentage of lakes above minimum impact levels is known; the 25th percentile is most appropriate where 75% of the lakes exceed minimal impact levels. In practice, both of these conditions are rarely met (Herlihy and Sifneos 2008).","Exactly two conditions are being discussed.","target-original","numeric_determiners",100,100,100,NA,NA,100,0
"1145"," Their kids have played sports together.","There are exactly two sides.","target-prior","numeric_determiners",71.14,83.43,94.74,100,17.91,73.444,32.9689039854224
"1145"," Their kids have played sports together. Women from both sides didn't form a mothers group.","There are exactly two sides.","target-negated","numeric_determiners",78.46,99.71,100,96.6,NA,93.6925,10.2709537856358
"1145"," Their kids have played sports together. Women from both sides formed a mothers group.","There are exactly two sides.","target-original","numeric_determiners",99.16,70.74,100,100,100,93.98,12.9966457211082
"1153","I'm not looking for a--a colony on the moon. I think the cost of that would be in the hundreds of billions, if not trillions.","Housing in the US has previously been built.","target-prior","re_verbs",97.84,90.42,100,100,100,97.652,4.14959275110221
"1153","I'm not looking for a--a colony on the moon. I think the cost of that would be in the hundreds of billions, if not trillions. I'd rather not be rebuilding housing here in the U.S.","Housing in the US has previously been built.","target-negated","re_verbs",100,100,100,100,100,100,0
"1153","I'm not looking for a--a colony on the moon. I think the cost of that would be in the hundreds of billions, if not trillions. I'd rather be rebuilding housing here in the U.S.","Housing in the US has previously been built.","target-original","re_verbs",100,100,100,NA,NA,100,0
"1160"," As he was securing a separation and divorce from his first wife, Engler had what might be called an active social life, leading to the same sort of rumors about womanizing that have plagued Clinton.","Engler had been married before.","target-prior","re_verbs",19.17,100,99.69,100,99.37,83.646,36.0441233767725
"1160"," As he was securing a separation and divorce from his first wife, Engler had what might be called an active social life, leading to the same sort of rumors about womanizing that have plagued Clinton. But Engler hasn't remarried, and supporters argue his new role as father to triplets should assuage any concerns.","Engler had been married before.","target-negated","re_verbs",100,100,100,100,100,100,0
"1160"," As he was securing a separation and divorce from his first wife, Engler had what might be called an active social life, leading to the same sort of rumors about womanizing that have plagued Clinton. But Engler has remarried, and supporters argue his new role as father to triplets should assuage any concerns.","Engler had been married before.","target-original","re_verbs",100,100,100,100,100,100,0
"1168","In September, OSHA proposed cutting in half the permissible levels of exposure to crystalline silica at work sites. Minnesota recently began testing for crystalline silica and other fine particles at mines and along a busy haul route.","Air-quality standards for sand mining have been previously established.","target-prior","re_verbs",100,100,100,97.88,99.16,99.408,0.928396467033349
"1168","In September, OSHA proposed cutting in half the permissible levels of exposure to crystalline silica at work sites. Minnesota recently began testing for crystalline silica and other fine particles at mines and along a busy haul route. It isn't rewriting air-quality standards for sand mining.","Air-quality standards for sand mining have been previously established.","target-negated","re_verbs",96.71,95.59,100,78.82,100,94.224,8.83252115763104
"1168","In September, OSHA proposed cutting in half the permissible levels of exposure to crystalline silica at work sites. Minnesota recently began testing for crystalline silica and other fine particles at mines and along a busy haul route. It is rewriting air-quality standards for sand mining.","Air-quality standards for sand mining have been previously established.","target-original","re_verbs",100,100,96.14,9.33,NA,76.3675,44.7286942763442
"1174"," Milwaukee:","Chris Ford and Sherman Douglas were part of the same team earlier.","target-prior","re_verbs",0.29,50,49.85,1.8,0,20.388,26.9721795559795
"1174"," Milwaukee: Bucks coach Chris Ford and point G Sherman Douglas haven't been reunited in Milwaukee this season.","Chris Ford and Sherman Douglas were part of the same team earlier.","target-negated","re_verbs",100,100,50.9,79.54,NA,82.61,23.2362733673023
"1174"," Milwaukee: Bucks coach Chris Ford and point G Sherman Douglas have been reunited in Milwaukee this season.","Chris Ford and Sherman Douglas were part of the same team earlier.","target-original","re_verbs",100,100,99.91,99.69,100,99.92,0.134350288425445
"1207"," DH Frank Thomas hit.212 in June and is still trying to find his stroke after last year's biceps injury.","DH Frank Thomas hit.340 with 12 home runs and 22 RBI in June.","target-prior","temporal_adverbs",0,0.63,0,0,0,0.126,0.281744565164974
"1207"," DH Frank Thomas hit.212 in June and is still trying to find his stroke after last year's biceps injury. He hasn't got an outside shot at the Triple Crown after hitting.340 with 12 home runs and 22 RBI in June.","DH Frank Thomas hit.340 with 12 home runs and 22 RBI in June.","target-negated","temporal_adverbs",100,49.55,100,100,NA,87.3875,25.225
"1207"," DH Frank Thomas hit.212 in June and is still trying to find his stroke after last year's biceps injury. He's got an outside shot at the Triple Crown after hitting.340 with 12 home runs and 22 RBI in June.","DH Frank Thomas hit.340 with 12 home runs and 22 RBI in June.","target-original","temporal_adverbs",100,100,100,100,100,100,0
"1211"," ISE resources include, but are not limited to: science centers and museums and any other nature-related exhibit; television programs; film and broadcast media; digital media and gaming; and youth, community, and after-school programs (CAISE).","I collected the results and reported back.","target-prior","temporal_adverbs",98.41,65.89,14.86,94.68,4.47,55.662,43.9881571562165
"1211"," ISE resources include, but are not limited to: science centers and museums and any other nature-related exhibit; television programs; film and broadcast media; digital media and gaming; and youth, community, and after-school programs (CAISE). I didn't decide that it would be of further interest to expand the questioning to ITEEA members in order to determine a broader audience's response after collecting the results and reporting back.","I collected the results and reported back.","target-negated","temporal_adverbs",58.95,61.44,100,100,NA,80.0975,23.0038987637603
"1211"," ISE resources include, but are not limited to: science centers and museums and any other nature-related exhibit; television programs; film and broadcast media; digital media and gaming; and youth, community, and after-school programs (CAISE). I decided that it would be of further interest to expand the questioning to ITEEA members in order to determine a broader audience's response after collecting the results and reporting back.","I collected the results and reported back.","target-original","temporal_adverbs",100,99.9,0.1,51.05,NA,62.7625,47.7130201482433
"1214"," The newest way to monitor your heart rate, these tiny buds work by tracking the pulse of the blood rushing through your ears while allowing you to listen to your favorite tunes.","We took a few brands for a test jog.","target-prior","temporal_adverbs",17.8,49.85,0.84,25.17,NA,23.415,20.3555733563726
"1214"," The newest way to monitor your heart rate, these tiny buds work by tracking the pulse of the blood rushing through your ears while allowing you to listen to your favorite tunes. We didn't like LG's Heart Rate Monitor Earphones best ($ 180) after taking a few brands for a test jog.","We took a few brands for a test jog.","target-negated","temporal_adverbs",100,100,100,100,100,100,0
"1214"," The newest way to monitor your heart rate, these tiny buds work by tracking the pulse of the blood rushing through your ears while allowing you to listen to your favorite tunes. We liked LG's Heart Rate Monitor Earphones best ($ 180) after taking a few brands for a test jog.","We took a few brands for a test jog.","target-original","temporal_adverbs",100,100,100,99.97,100,99.994,0.0134164078649992
"1216"," Maybe a little, I mean after, b u t... "" land, with occasional spells aboard trains and busses.","Nuala learned of Hal's death.","target-prior","temporal_adverbs",51.5,0.38,0.29,NA,NA,17.39,29.5401607984791
"1216"," Maybe a little, I mean after, b u t... "" land, with occasional spells aboard trains and busses. She hummed. Nuala hadn't alternated between the melody to Mendelsshon's Symphony No. 3, known as his silence and outbursts of anger, since learning of Hal's death.","Nuala learned of Hal's death.","target-negated","temporal_adverbs",100,100,100,100,100,100,0
"1216"," Maybe a little, I mean after, b u t... "" land, with occasional spells aboard trains and busses. She hummed. Nuala had alternated between the melody to Mendelsshon's Symphony No. 3, known as his silence and outbursts of anger, since learning of Hal's death.","Nuala learned of Hal's death.","target-original","temporal_adverbs",100,99.85,100,100,100,99.97,0.0670820393249962
"1227"," At the time he attaches no significance to his father's visit to the counter of a domestic airline before checking in for his international flight, but he knew even then with the deaf-and-dumb intuition of a child that his father would not be coming back, ever.","His father kissed them and promised them gifts on his return.","target-prior","temporal_adverbs",3.12,0.88,63.61,10.93,NA,19.635,29.63147481986
"1227"," At the time he attaches no significance to his father's visit to the counter of a domestic airline before checking in for his international flight, but he knew even then with the deaf-and-dumb intuition of a child that his father would not be coming back, ever. He recalls nothing of his actual feelings as he and Dora struggle to lift an unprecedented second suitcase onto the scale and his father doesn't disappear into customs after rushed kisses and a vague guarantee of gifts on his return.","His father kissed them and promised them gifts on his return.","target-negated","temporal_adverbs",61,99.66,100,97.88,NA,89.635,19.1126232282925
"1227"," At the time he attaches no significance to his father's visit to the counter of a domestic airline before checking in for his international flight, but he knew even then with the deaf-and-dumb intuition of a child that his father would not be coming back, ever. He recalls nothing of his actual feelings as he and Dora struggle to lift an unprecedented second suitcase onto the scale and his father disappears into customs after rushed kisses and a vague guarantee of gifts on his return.","His father kissed them and promised them gifts on his return.","target-original","temporal_adverbs",100,100,100,1.12,100,80.224,44.2204803230358
"1230"," Still, after Johnson was fired he didn't get another big league managerial job until the Cincinnati Reds hired him in May 1993.","Johnson was swept by the Atlanta Braves.","target-prior","temporal_adverbs",4.29,2.96,63.61,22.9,53.6,29.472,27.9632521356154
"1230"," Still, after Johnson was fired he didn't get another big league managerial job until the Cincinnati Reds hired him in May 1993. He didn't take them to the NL Championship Series last year before being swept by the Atlanta Braves.","Johnson was swept by the Atlanta Braves.","target-negated","temporal_adverbs",99.71,62.02,99.93,NA,NA,87.22,21.8241173933793
"1230"," Still, after Johnson was fired he didn't get another big league managerial job until the Cincinnati Reds hired him in May 1993. He took them to the NL Championship Series last year before being swept by the Atlanta Braves.","Johnson was swept by the Atlanta Braves.","target-original","temporal_adverbs",100,100,100,100,100,100,0
"1238","In the first section of the book, Stafford takes the risk of relying on mostly nonhuman speakers. Among others, we hear from a bowstring, a coyote, and several extinct species.","Stafford was on the right track before.","target-prior","change_of_state",49.25,99.71,40.91,3.98,NA,48.4625,39.4235947752104
"1238","In the first section of the book, Stafford takes the risk of relying on mostly nonhuman speakers. Among others, we hear from a bowstring, a coyote, and several extinct species. Stafford's central yet very human challenge is spelled out in ""For Later,"" the fourth poem: After prayers I didn't lose my way","Stafford was on the right track before.","target-negated","change_of_state",50.3,1.23,95.01,65.46,50.3,52.46,33.9608105026956
"1238","In the first section of the book, Stafford takes the risk of relying on mostly nonhuman speakers. Among others, we hear from a bowstring, a coyote, and several extinct species. Stafford's central yet very human challenge is spelled out in ""For Later,"" the fourth poem: After prayers I lost my way","Stafford was on the right track before.","target-original","change_of_state",64.04,30.76,51.5,96.98,NA,60.82,27.7391420198967
"1242","Bea Gaddy, activist for the homeless, Baltimore, Maryland A woman who had been with my grandparents for years came to help out with our holiday dinner.","The turkey was not on the floor beforehand.","target-prior","change_of_state",100,48.5,29.94,51.5,48.5,55.688,26.207760682668
"1242","Bea Gaddy, activist for the homeless, Baltimore, Maryland A woman who had been with my grandparents for years came to help out with our holiday dinner. As she carried the turkey to the dining table, it didn't fall onto the floor.","The turkey was not on the floor beforehand.","target-negated","change_of_state",97.88,100,100,100,99.77,99.53,0.92773918748752
"1242","Bea Gaddy, activist for the homeless, Baltimore, Maryland A woman who had been with my grandparents for years came to help out with our holiday dinner. As she carried the turkey to the dining table, it fell onto the floor.","The turkey was not on the floor beforehand.","target-original","change_of_state",100,100,100,100,NA,100,0
"1250","""Do better."" ""I'm ready when you are,"" Iris said.","The Outlaw is open before ten.","target-prior","change_of_state",0,0.49,0.25,0.49,NA,0.3075,0.234147389479362
"1250","""Do better."" ""I'm ready when you are,"" Iris said. The Outlaw doesn't close at ten, and I'm ordering salmon.","The Outlaw is open before ten.","target-negated","change_of_state",100,100,100,100,99.98,99.996,0.00894427190999738
"1250","""Do better."" ""I'm ready when you are,"" Iris said. The Outlaw closes at ten, and I'm ordering salmon.","The Outlaw is open before ten.","target-original","change_of_state",100,100,100,100,99.54,99.908,0.205718253929978
"1261","He asked Kushal to identify himself. ""Did you make this message?""","The captain's hand was closed before.","target-prior","change_of_state",49.4,50.9,0.31,13.03,NA,28.41,25.6419877024644
"1261","He asked Kushal to identify himself. ""Did you make this message?"" The captain didn't open a gloved hand, and a tiny holo of Kushal's conversation with the teleprezz officer appeared.","The captain's hand was closed before.","target-negated","change_of_state",100,100,99.06,100,100,99.812,0.420380779769959
"1261","He asked Kushal to identify himself. ""Did you make this message?"" The captain opened a gloved hand, and a tiny holo of Kushal's conversation with the teleprezz officer appeared.","The captain's hand was closed before.","target-original","change_of_state",99.79,89.71,99.87,100,100,97.874,4.56469385610909
"1262","He's terminated this year. That means the rest of his contract gets thrown out the door.","He had several million dollars.","target-prior","change_of_state",70.06,48.05,3.46,50.6,NA,43.0425,28.1597258213452
"1262","He's terminated this year. That means the rest of his contract gets thrown out the door. In addition, he has not lost several million dollars as a result of the termination of his shoe contract with Converse.","He had several million dollars.","target-negated","change_of_state",38.27,88.61,100,100,NA,81.72,29.4600939125002
"1262","He's terminated this year. That means the rest of his contract gets thrown out the door. In addition, he's lost several million dollars as a result of the termination of his shoe contract with Converse.","He had several million dollars.","target-original","change_of_state",100,100,50.15,100,100,90.03,22.2935977356729
"129"," I tried to start the car, but the engine didn't make a sound.","I was turning the key earlier.","target-prior","continuation_of_state",98.62,99.4,100,100,100,99.604,0.608342009070553
"129"," I tried to start the car, but the engine didn't make a sound. I didn't keep turning the key.","I was turning the key earlier.","target-negated","continuation_of_state",100,98.62,50.45,77.23,100,85.26,21.7327046176954
