"sent_id","type","label","all_labels","ratings","workerids"
"1182","target-original","E","E,E,E,E,E","100,100,100,100,100","84,65,111,2,59"
"1183","target-negated","E","E,E,E,E,N","100,100,100,100,91.84","85,63,142,13,92"
"1183","target-original","E","E,E,E,E,E","100,100,100,99.49,100","145,129,137,83,28"
"1184","target-negated","E","E,E,E,E,E","98.62,100,98.62,99.73,99.77","136,129,133,83,60"
"1184","target-original","E","E,E,E,E,E","100,100,100,100,99.81","91,22,65,111,2"
"1187","target-negated","E","E,E,E,E,E","100,100,100,100,100","136,43,145,137,35"
"1187","target-original","E","E,E,E,E,E","100,100,100,100,100","11,78,142,13,104"
"1188","target-negated","N","N,N,E,N,E","73.14,11.48,99.46,23.39,98.62","28,109,127,123,11"
"1188","target-original","E","E,E,E,N,N","100,100,100,95.46,95.65","119,11,84,94,125"
"1189","target-negated","E","E,E,N,E,N","100,100,60.56,100,96.31","119,91,92,111,2"
"1189","target-original","N","N,E,N,E,N","97.6,98.62,92.72,100,97.19","136,26,28,148,83"
"119","target-negated","E","E,E,E,N,E","100,100,98.45,60.12,100","52,148,51,144,118"
"119","target-original","E","E,E,E,E,E","100,100,100,99.59,99.91","84,128,27,58,63"
"1190","target-negated","E","E,E,E,N,N","100,100,100,88.89,93.98","84,44,66,125,92"
"1190","target-original","E","N,N,E,E,E","96.2,96.37,100,99.46,100","54,36,108,109,34"
"1193","target-negated","E","E,E,E,E,E","100,100,99.54,100,100","44,78,63,142,33"
"1193","target-original","E","E,E,E,E,E","100,100,100,100,99.25","39,52,54,108,60"
"1194","target-negated","E","E,E,E,E,E","100,100,100,100,99.64","84,65,111,2,97"
"1194","target-original","E","E,E,E,E,E","100,100,98.37,99.49,99.57","39,148,133,83,60"
"1200","target-negated","E","N,N,E,E,E","95.84,97.4,100,99.54,100","36,133,51,60,22"
"1200","target-original","E","E,E,E,E,E","99.54,100,98.2,100,100","11,65,94,66,27"
"1201","target-negated","N","E,N,N,N,N","100,47.45,97.65,97.14,74.57","134,145,137,54,144"
"1201","target-original","E","E,E,N,E,E","100,100,50.3,100,100","44,78,8,104,145"
"1202","target-negated","E","E,E,E,E,E","100,100,99.9,100,100","119,91,11,65,63"
"1202","target-original","E","E,E,E,E,E","100,100,100,100,100","39,54,108,51,97"
"1207","target-negated","E","E,E,E,N,E","100,100,100,49.55,100","44,27,8,13,2"
"1207","target-original","E","E,E,E,E,E","100,100,100,100,100","20,39,15,32,48"
"121","target-negated","E","E,N,E,N,E","100,5.06,100,82.65,98.11","39,54,108,51,34"
"121","target-original","E","E,E,N,E,E","98.95,100,95.08,100,100","20,84,135,65,63"
"1211","target-negated","E","E,N,E,N,E","100,58.95,100,61.44,98.5","44,8,18,2,54"
"1212","target-negated","E","E,N,E,E,N","100,96.31,100,99.28,93.25","39,55,54,108,97"
"1214","target-negated","E","E,E,E,E,E","100,100,100,100,100","20,39,15,32,48"
"1214","target-original","E","E,E,E,E,E","100,100,100,99.97,100","7,26,35,36,34"
"1216","target-negated","E","E,E,E,E,E","100,100,100,100,100","20,11,15,32,48"
"1216","target-original","E","E,E,E,E,E","100,100,100,99.85,100","7,26,35,36,34"
"1218","target-negated","E","E,E,E,N,E","100,100,100,73.27,100","77,66,111,2,134"
"1218","target-original","E","E,E,E,E,E","100,100,100,98.77,99.77","39,26,117,133,60"
"1219","target-negated","E","E,E,E,E,E","100,100,100,100,99.75","134,118,129,76,83"
"1219","target-original","E","E,E,E,E,E","100,100,100,100,100","65,126,111,2,104"
"1220","target-negated","E","E,E,E,E,E","100,100,99.31,100,100","118,129,83,97,123"
"1220","target-original","E","E,E,E,E,E","100,100,100,100,99.22","65,77,142,13,2"
"1222","target-negated","E","E,E,E,E,E","97.98,100,100,100,100","39,129,148,59,111"
"1222","target-original","E","E,E,E,E,E","100,100,100,100,100","18,92,111,2,104"
"1224","target-negated","E","E,E,E,E,E","99.75,100,100,100,100","11,78,142,13,104"
"1224","target-original","E","E,E,E,E,E","100,100,100,100,99.97","136,43,145,137,35"
"1225","target-negated","E","E,E,E,E,E","100,100,99.12,100,100","85,66,142,92,111"
"1225","target-original","E","E,E,E,E,E","100,100,100,99.77,100","134,54,133,109,123"
"1227","target-negated","E","E,E,E,N,N","100,99.66,97.88,61,91.6","44,8,18,2,107"
"1227","target-original","E","E,E,E,E,C","100,100,100,100,1.12","20,39,15,32,48"
"1228","target-negated","N","N,E,E,N,N","95.71,100,99.9,97.74,89.53","118,129,83,97,123"
"1228","target-original","E","E,E,E,E,E","100,100,99.02,100,99.93","65,77,142,13,2"
"1229","target-negated","E","E,E,N,C,E","100,99.66,19.17,1.8,100","119,20,149,94,125"
"1229","target-original","E","E,N,E,E,E","100,90.15,100,99.54,100","145,26,28,127,34"
"123","target-negated","E","N,E,E,E,N","72.34,100,100,100,96.71","52,148,51,144,26"
"123","target-original","E","E,E,E,E,N","100,100,100,99.9,93.69","84,128,27,58,18"
"1230","target-negated","E","E,E,E,N,N","100,99.71,99.93,62.02,71.95","22,44,8,13,2"
"1230","target-original","E","E,E,E,E,E","100,100,100,100,100","20,39,15,32,48"
"1234","target-negated","E","N,E,E,E,N","50.3,100,100,98.29,86.87","119,11,84,94,125"
"1234","target-original","E","E,E,E,E,E","100,98.73,99.54,100,100","28,109,127,123,111"
"1236","target-negated","E","E,E,E,E,E","99.75,100,99.37,99.66,100","11,84,8,58,85"
"1236","target-original","E","E,N,E,E,E","100,91.35,100,99.94,100","52,36,144,64,55"
"1237","target-negated","N","N,E,N,N,N","84.93,100,49.7,75.98,95.59","118,129,83,97,123"
"1237","target-original","E","E,E,E,N,N","100,100,100,72.08,94.74","65,77,142,13,2"
"1238","target-negated","N","N,N,N,N,C","95.01,65.46,50.3,50.3,1.23","20,39,15,32,48"
"1238","target-original","N","N,N,N,N,N","64.04,30.76,51.5,96.98,4.86","7,26,35,36,107"
"1239","target-negated","N","N,E,E,N,N","33.97,100,100,44.91,58.5","118,129,89,123,92"
"1239","target-original","N","E,N,N,N,N","98.29,10.65,23.9,57.17,8.65","20,78,92,111,104"
"1240","target-negated","E","E,N,E,E,N","99.77,31.87,100,100,87.37","135,63,125,13,92"
"1240","target-original","N","N,N,E,E,N","97.6,5.06,100,99.4,21.18","118,129,35,83,92"
"1242","target-negated","E","E,E,E,E,E","97.88,100,100,99.77,100","20,15,32,45,48"
"1242","target-original","E","N,E,E,E,E","90.85,100,100,100,100","22,44,27,8,2"
"1243","target-negated","N","E,N,N,N,E","100,85.66,88.33,76.61,99.85","91,135,66,63,58"
"1243","target-original","N","E,N,N,N,E","100,78.21,90.93,96.98,98.2","39,55,54,108,97"
"1244","target-negated","N","N,N,N,E,N","96.02,97.3,86.97,100,97.04","39,54,36,108,118"
"1244","target-original","N","N,N,E,N,N","89.8,23.77,100,90.33,65.75","119,135,65,63,107"
"1247","target-negated","N","N,N,C,C,N","94.94,46.7,0,0,39.44","39,117,54,108,34"
"1247","target-original","C","C,C,E,C,C","1.89,0,100,0.84,0","85,91,44,78,63"
"1248","target-negated","E","C,E,E,N,E","0,100,100,64.47,100","65,66,27,33,134"
"1248","target-original","E","E,E,N,E,N","100,99.77,88.23,99.19,97.4","117,76,51,60,92"
"125","target-negated","E","E,E,E,N,N","99.16,100,100,90.59,56.13","77,66,111,2,76"
"125","target-original","E","E,N,N,E,E","100,95.53,11.96,99.62,97.93","39,26,117,133,60"
"1250","target-negated","E","E,E,E,E,E","100,100,100,100,99.98","20,39,15,32,48"
"1250","target-original","E","E,E,E,E,E","100,100,100,99.54,100","7,26,35,36,34"
"1251","target-negated","E","E,E,E,E,E","100,100,97.88,100,100","52,148,51,97,134"
"1251","target-original","E","E,E,E,E,E","100,99.64,100,100,99.46","84,94,128,27,47"
"1252","target-negated","N","E,N,N,N,N","99.9,54.05,95.27,87.07,97.19","52,148,51,97,118"
"1252","target-original","E","E,E,E,E,E","100,98.07,100,100,99.43","84,94,128,27,63"
"1253","target-negated","N","E,N,N,E,N","100,67.85,81.29,100,14.86","145,108,109,89,144"
"1253","target-original","E","E,N,C,E,E","99.51,91.6,0,98.11,100","135,8,13,107,104"
"1254","target-negated","N","N,N,N,N,E","5.53,94.47,96.93,97.25,100","119,20,94,125,118"
"1254","target-original","N","N,N,N,N,E","96.43,22.65,22.03,15.28,100","28,109,127,34,65"
"126","target-negated","N","E,N,N,N,N","98.37,72.08,51.5,77.1,89.98","136,137,35,133,108"
"126","target-original","C","C,C,E,C,N","0,0.25,100,0,2.26","78,58,142,13,104"
"1260","target-negated","N","N,E,N,E,N","74.44,100,64.9,100,72.74","117,137,36,108,144"
"1260","target-original","E","N,N,E,E,E","92.79,92.56,98.2,97.93,100","85,46,66,13,104"
"1261","target-negated","E","E,E,E,E,E","100,100,100,100,99.06","20,39,15,32,48"
"1261","target-original","E","E,E,N,E,E","99.87,100,89.71,100,99.79","22,44,46,27,8"
"1262","target-negated","E","E,N,E,N,E","100,38.27,100,88.61,100","44,8,18,2,129"
"1262","target-original","E","E,E,E,N,E","100,100,100,50.15,100","20,39,15,32,48"
"1264","target-negated","E","N,E,E,N,E","96.54,100,100,91.43,100","136,137,35,133,108"
"1264","target-original","E","E,E,E,E,E","100,100,100,100,100","78,58,142,13,104"
"1265","target-negated","E","E,E,E,E,E","99.02,100,100,98.95,100","118,129,137,83,111"
"1265","target-original","N","E,E,N,N,N","100,100,96.66,97.25,96.37","66,63,125,13,92"
"1272","target-negated","N","N,N,C,N,E","49.1,81.29,0,74.83,98.5","22,126,100,2,134"
"1272","target-original","E","N,E,E,E,N","96.37,98.69,100,100,94.54","136,52,59,65,92"
"1273","target-original","E","E,E,N,E,E","100,100,48.8,100,100","44,78,63,142,33"
"1275","target-negated","E","E,E,E,E,N","100,100,100,100,93.02","84,77,128,27,117"
"1275","target-original","E","E,E,E,E,E","100,100,100,100,98.69","7,52,48,97,47"
"1277","target-negated","N","N,E,E,N,N","94.68,100,99.25,35.39,61.15","92,111,2,49,104"
